video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=HxySrSbSY7o&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@amazeorg,AMAZE Org,Being Safe on the Internet,1.1M,6 years,"The internet can be an amaze-ing place to explore, but it's also good to practice online safety. Some tips include being careful ...",57:25.2
/watch?v=yrln8nyVBLU&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@watchwellcast,watchwellcast,Safe Web Surfing: Top Tips for Kids and Teens Online,1.8M,10 years,Internet safety is easier than you think. Check out some other awesome episodes of WellCast: 1. Inside Puberty ...,57:25.2
/watch?v=1fLBBJjqxDo&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@CommonSenseForFamilies,Common Sense Media for Families,5 Surefire Ways to Protect Your Online Privacy,18K,6 years,Our Stress-Free App for Finding The Best Kids' Entertainment: https://www.commonsensemedia.org/appinstall Today's kids​ ...,57:25.2
/watch?v=wFP8LIYiamQ&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@cybernews,CyberNews,How To Make My Online Security Better? Cybersecurity Tips & Tricks,4.8K,1 year,"Now, protecting all of your online accounts, and your precious data has never been more important. Learn how to protect yourself ...",57:25.2
/watch?v=M--Yk6_f8MU&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@AllThingsSecured,All Things Secured,5 EASY Tips to Maximize Online Security as You Surf the Internet,52K,6 years,Additional Resources       Links for recommended services: ✓ ExpressVPN (Get 3 Months FREE when using this link): ...,57:25.2
/watch?v=6AXkJ3dot2s&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@TheHatedOne,The Hated One,How To Protect Your Online Privacy With A Threat Model | Tutorial 2022,43K,1 year,Privacy tools are inconsistent. The inventory of recommended countermeasures changes all the time. On the long enough timeline ...,57:32.5
/watch?v=5G2bKEFgr5k&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@TELUS,TELUS,TELUS | Introducing TELUS Online Security,5.6K,3 years,Keeping your digital life secure is more important than ever. Introducing Canada's most comprehensive all-in-one protection.,57:32.5
/watch?v=F2yjs8GuEyA&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@Yasir_khan_Canada,Yasir Khan ( Canada Wala ),🍁 How to Avoid Fraud in Canada? | Expert’s Opinion | AJMAL MAHMOOD 🍁,33,1 hour,Fraud Prevention Financial Security Scam Awareness Identity Theft Online Safety Cybersecurity Canadian Finance Consumer ...,57:32.5
/watch?v=NiK3eoP4g88&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@acvisshq,Acviss Technologies,Technology to Prevent Fake Supplements | Brand Protection,3,7 hours,"Join us as Vikas from Acviss discusses strategies to combat counterfeiting in the supplement industry, emphasizing the role of ...",57:32.5
/watch?v=MuxD1Pfygok&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@TonyTeachesTech,Tony Teaches Tech,How to Secure Your Online Business from Hackers (with DDoS Protection),1.1K,2 months,Learn how to protect your online business website or e-commerce store with Cloudflare DDoS protection that's built right into ...,57:32.5
/watch?v=YYkt8683YFY&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@TaiwoAKINLAMIChannel,Taiwo AKINLAMI,TAIN10MINUTES|EP92|Sylvester Oromoni: Child Safeguarding and Protection - Lessons Learnt & Lost,44,Streamed 23 hours,... https://youtu.be/ogAb67cuzBc| ONLINE SAFETY E-BOOK: E- S.A.F.E® Manual- https://bit.ly/ESAFE20Emanual|CHILDREN ...,57:32.5
/watch?v=3H2CKTRqOEQ&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@TheHatedOne,The Hated One,How to secure your online accounts,164K,4 years,"Ultimate guide to securing your online accounts: password managers, second-factor authentication and operations security.",57:32.5
/watch?v=Q8QhdSkIyDw&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@vegaspbs,Vegas PBS,Exploring Potential Impacts of the Kids Online Safety Act | Nevada Week,No,23 hours,The Kids Online Safety Act is designed to ensure children aren't presented harmful content when they are on social media.,57:32.5
/watch?v=4VG_XxYYPS8&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@PastorPRPani,Pastor P. R. Pani,"ऑनलाइन प्रार्थना के द्वारा संतान प्राप्ति की आशीष, जादू-टोना और बिमारियों से अद्भुत छुटकारा - 000020",No,1 hour,"WhatsApp No: +918754054789/+918124013328/+919677486631 Contact for 24x7 Online Prayer Help : Healing, Deliverance, ...",57:32.5
/watch?v=R3kTuyVTqf0&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@TheSavvyProfessor,The Savvy Professor,How To Protect Your Debit Card From Being Hacked (How To Avoid Debit Card Fraud),No,13 hours,Practice online safety best practices. Enhance the online safety of your gadgets by installing antivirus and online protection.,57:32.5
/watch?v=r6EtMSgjXvw&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@aimvisionsafetytrainingcon4638,AIM VISION SAFETY TRAINING & CONSULTING  ,OSHA 30 Hours Online Course | Aim Vision Safety Training & Consulting,No,8 hours,"Welcome to Aim Vision Safety Training & Consulting's OSHA 30 Hours Online Course! In this comprehensive course, we provide ...",57:32.5
/watch?v=MB5VDIebMd8&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@amazeorg,AMAZE Org,Being Safe Online,549K,7 years,"Being connected to your friends, family, and everyone else online can be awesome! But nothing we do online is really private, ...",57:32.5
/watch?v=GIKD7XPX1g8&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@thinksecurity9848,Think Security,How to Protect Yourself From Online Threats,2K,4 months,How to Protect Yourself From Online Threats. Stay ahead of online threats! 🛡️ Unlock the secrets of internet security and protect ...,57:32.5
/watch?v=YiVkbOggOBQ&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@AllThingsSecured,All Things Secured,5 EASY Ways to Secure Your Home WiFi Network (& protect your devices!),274K,3 years,This video dives into five quick changes to make in your home WiFi network to increase your online security. If you'd rather read ...,57:32.5
/watch?v=iCs3aJYXLwo&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@CommunitiesLearning,"Bristol Council: Employment, Skills & Learning",Online safety for grown ups,29K,4 years,"There are many worrying things to watch out for online, from scams to viruses, from hackers to identity theft. In this video we look at ...",57:32.5
/watch?v=AV70YFXIQa8&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@AllThingsSecured,All Things Secured,"How to PREVENT IDENTITY THEFT (for free, in less than 10 min)",31K,1 year,Stopping identity theft doesn't have to be complex. Setting up a credit freeze is one of the best and easiest ways to protect yourself ...,57:32.5
/watch?v=Hu0v13aH2Rk&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@McAfee,McAfee,Take control of your online safety with McAfee Protection Score,761K,1 year,Take control of your online safety with Protection Score Monitor the health of your online protection to improve your security and ...,57:32.5
/watch?v=7BhJCK0PCF4&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@RyanMcBethProgramming,Ryan McBeth,5 Tips for Personal Cybersecurity,35K,1 year,Be sure to use code MCBETH when signing up to get your discount. Join the conversation: https://discord.gg/pKuGDHZHrz ...,57:32.5
/watch?v=G8nYLYXdYDQ&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@AllThingsSecured,All Things Secured,🛑 5 COMMANDMENTS of PRIVACY (how I protect my data),21K,2 years,"Hear me carefully: there is NO ""standard"" of PRIVACY!! These are the 5 principles I use to help me make decisions about my ...",57:41.2
/watch?v=PC0yFO5AoHM&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@HighThreatTraining,SECFOR International,Online and in-person Executive Protection Training,2.8M,11 years,"SECFOR's Online and in-person Executive Protection Training is going strong. In SECFOR's Executive Protection in Action series, ...",57:41.2
/watch?v=N3ymYPB4jOQ&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@cybernews,CyberNews,3 Steps to COMPLETE Online Security,1.7K,4 months,"Cybercriminals are targeting you every single day. They want your passwords, they want your data, they want your identity.",57:41.2
/watch?v=bSBLF66cCN0&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@askleonotenboom,Ask Leo!,Internet Safety: 7 Steps to Staying Safe Online,2.5K,1 year,Online security is critical. Here are the key steps you can take to keep yourself safe on the internet. ⚠️ Staying safe online - Use ...,57:41.2
/watch?v=IsD9EFQEuWI&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@LoyMachedo,Loy Machedo,Why You MUST Delete Instagram & TikTok. How We Are Being Exposed To The Dark Side. Video 7181,681,7 hours,"... Internet safety, Protecting kids, Social media risks, Online child protection, Tech-aware parenting, Safer online experience, Kids ...",57:41.2
/watch?v=fuQe-GlRzE0&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@universityofdayton,University of Dayton,How to Protect Your Data Online,1.9K,4 years,"Your online information has probably already been hacked, but there are simple, easy steps you can take to better protect your ...",57:41.3
/watch?v=9kJKi0MepXk&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@davidbombal,David Bombal,Do you realize that they are watching you? Protect your online privacy,201K,1 year,They know so much about you if you don't protect yourself. Learn why is online privacy important. Learn how to maintain it.,57:41.3
/watch?v=rGTbCDVwUkI&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@McAfee,McAfee,McAfee Protection Score Keeps You Safer Online,6.5K,2 years,See how McAfee frees you to confidently enjoy your life online with McAfee Protection Score. It starts with knowing how safe you ...,57:41.3
/watch?v=s3h4bjuRwvU&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@Kaspersky,Kaspersky,Protect your privacy online,175K,3 years,Like to hang out on social networks? Does your life often pop up in stories and friends' feeds? Make sure your secrets don't run ...,57:41.3
/watch?v=R2Ety59KcJg&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@itutelecommunication,ITU,New 2020 Child Online Protection Guidelines,5K,3 years,ITU launches 2020 Guidelines on Child Online Protection (COP) with key recommendations to keep children safe online.,57:41.3
/watch?v=GJpaYoEFlcA&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@directorcia,Robert Crane,Introduction to Exchange Online Protection,1.1K,8 months,This video is the technical session from my May 2023 Need to Know webinar that focuses on helping people understand Microsoft ...,57:41.3
/watch?v=qhPe3rLEktE&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@TheHatedOne,The Hated One,Online Privacy In 8 Steps - Easy Tutorial,100K,3 years,These are the top 8 steps to protect your online privacy in a chronological order of importance and effectiveness. Join my channel ...,57:41.3
/watch?v=a1i-3xwcSGA&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@techlore,Techlore,"Become Anonymous: The Ultimate Guide To Privacy, Security, & Anonymity",549K,3 years,"The ultimate & complete guide to becoming anonymous, private, and secure on the internet. Learn everything you can do to get as ...",57:41.3
/watch?v=Dd-IvYF9jT8&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@itproguide,ITProGuide,Exchange Online Protection - Introduction | Video 1,4.3K,2 years,"In this video, we cover the following topics: What is Exchange Online Protection How it works.",57:41.3
/watch?v=pv8QOTU4t18&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@AllThingsSecured,All Things Secured,FREE Security Tools EVERYONE Should Use,71K,1 year,Here are 5 of the most important steps you can take...for FREE...to strengthen your online security. Apps and services mentioned ...,57:41.3
/watch?v=rEN6hvxZX4o&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@McAfee,McAfee,McAfee Makes Online Protection Simple,1.8K,2 years,"See how McAfee frees you to confidently enjoy your life online with your own personalized Protection Score, identity monitoring, ...",57:41.3
/watch?v=LsRuIewQ6xY&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@MSExchangeTeam,MSExchangeTeam,"Messaging Security: Deep Dive into Exchange Online Protection, Microsoft Defender for Office",5.6K,1 year,"Many messaging admins use the pre-configured settings of Exchange Online Protection to protect their users from malware, ...",57:41.3
/watch?v=4Z7H5tXqMGo&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@techlore,Techlore,Becoming Anonymous: The Complete Guide To Maximum Security Online,1M,6 years,"Video tutorial showing how to become anonymous, hide you internet traffic and identity, and browse the web freely without any ...",57:41.3
/watch?v=S4E4yAktjug&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@Hallden_,Hallden,How To Become Invisible Online,2.7M,2 years,CONTACT: contact@kalletech.com Follow me on: TWITCH: https://www.twitch.tv/kallehallden INSTAGRAM: ...,57:41.3
/watch?v=b4cmP4vpCF4&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@mbbplegal,Morse,7. Understanding the Children's Online Privacy Protection Act (COPPA),5.8K,7 years,MBBP Privacy & Data Security Series - #7: Attorney Faith Kasparian provides a brief overview of the Children's Online Privacy and ...,57:51.8
/watch?v=hVUYMiQuATg&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@AllThingsSecured,All Things Secured,6 FOOLISH Online Security Mistakes (that are easily avoidable!),10K,3 years,"Studies show that 80% of internet users think they are secure. You're probably one of them, and yet you're probably making at ...",57:51.8
/watch?v=3CU80TltO0I&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@moneysavingexpert,MoneySavingExpert.com,Government blames 'legal advice' for not including protection against scams in Online Safety Bill,1.8K,2 years,"""Legal advice"" is the ""only reason"" the Government hasn't included protection against paid-for scam adverts in its upcoming ...",57:51.8
/watch?v=jUbIhxXc148&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@SurfsharkAcademy,Surfshark Academy,13 Tips to increase your online security,1.2K,1 year,Staying safe online and keeping personal details secure when surfing is some of the biggest concerns for internet users.,57:51.8
/watch?v=LLpLU317zfc&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@techlore,Techlore,Top 10 Tools To Boost Privacy & Security!,186K,3 years,"Top 10 best tools to boost privacy and security today. Most times, you need to put in a lot of effort to gain privacy, security, and ...",57:51.8
/watch?v=Dq16OPVJJ-Q&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@AuraProtects,Aura,A Video Guide to Online Protection | Aura,95,1 month,Online crime is a national crisis. Here's how Aura can keep you and your family safe. Start your free trial: https://bit.ly/47b2yBf ...,57:51.9
/watch?v=eSKzVzehISM&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@itutelecommunication,ITU,Child Online Protection,479,5 years,"Let's empower our children to benefit from ICTs safely. https://www.itu.int/en/cop Protecting children online is a global challenge, ...",57:51.9
/watch?v=2R3aEVawodM&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@mageumd,Maryland Applied Graduate Engineering,Online Graduate Program in Fire Protection Engineering,2.8K,7 years,An overview of the Online Graduate Program in Fire Protection Engineering from the University of Maryland Find out more ...,57:51.9
/watch?v=N9Zv0lB08ng&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@KoganPageBooks,Kogan Page,Understanding the basics of online brand protection | David Barnett,1.4K,6 years,"In this video, David Barnett outlines the basic practices of Online Brand Protection including how both brand monitoring, and ...",57:51.9
/watch?v=tHoSYm5hFmU&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@itutelecommunication,ITU,Join the global movement of Child Online Protection!,909,2 years,https://itu-cop-guidelines.com - How can we make sure children and young people fully benefit from the opportunities of the online ...,57:51.9
/watch?v=2T5_CCdodnE&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@VideoEmailSignature,VideoEmailSignature,Credit Management -  the Credit Protection Association online,257,10 years,created by www.VideoEmailSignature.co.uk.,57:51.9
/watch?v=byIaLJtbHeo&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@PotentialCom,Potential,Useful Software for Online Protection,168,3 years,"In this video, we will introduce some of the best software and services for maximizing protection online. Software will not fully ...",57:51.9
/watch?v=wx7pqji3Uvg&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@Office365Concepts,Office365Concepts,What is Exchange Online Protection (EOP) | Architecture of EOP | Office 365 email security,27K,2 years,A deep-dive session on Exchange Online Protection. Learn how emails are filtered by EOP in each filtering level. Understand the ...,57:51.9
/watch?v=os1imjNqSZA&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@Tech_Prism.,Tech Prism,ESET Antivirus Review: Advanced Online Protection 2023,630,9 months,"In today's video, we will be discussing the benefits of ESET antivirus and ESET Internet Security. ESET is a trusted and reliable ...",57:51.9
/watch?v=ILHZkxIQK4Q&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@CNET,CNET,How To: Protect yourself online in three easy steps,5.3K,11 years,"Although the Web can feel like the Wild West at times, with gunslingers everywhere looking to separate you from your privacy, ...",57:51.9
/watch?v=1npA2dXEkY4&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@kenyacitizentv,Citizen TV Kenya,Communications authority launches child online protection campaign,572,2 years,"Communications authority launches child online protection campaign Campaign dubbed ""Huwezi tucheza, tuko cyber smart""",57:51.9
/watch?v=iulRxNbJ4VI&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@consumerreports,Consumer Reports,Protecting Your Computer from Online Threats | Consumer Reports,1.4K,13 years,"Cyber crime infected more than 2000000 computers in the last two years. Consumer Reports tests security software, including ...",57:51.9
/watch?v=lNlwaZoiWCE&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@datadome,DataDome,DataDome | Bot and Online Fraud Protection,14K,7 months,"Bot mitigation is the foundation of the fight against online fraud. Unlike other bot management solutions, DataDome detects and ...",57:51.9
/watch?v=mC2RLQ5qVJQ&pp=ygURb25saW5lIHByb3RlY3Rpb24%3D,/@BrotherEU,Brother Europe,Online protection: Brother security fundamentals (Part 12 of 12),166,1 year,Why do Brother devices need to connect to the internet and how are these connections made safe? This video will explain all.,57:51.9
